,State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Agricultural_Workers,Workers,Housholds_with_Electric_Lighting,Households_with_Internet,Hindus,Muslims,Christians,Sikhs,Jains,Buddhists,Male_Workers,Female_Workers,Literate_rate,sex_rate
0,Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,1369597,1371642,1483347,856350,626997,484912,1323667,566108,5512,2399901,275970,15422,1377,617,25510,748939,574728,54.112282803506005,99.85090861901284
1,Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,2064495,2016653,2310960,1338474,972486,879537,2036166,897970,8606,3599372,443456,20463,932,1417,341,1208544,827622,56.62524368143473,102.37234665557237
2,Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,2090204,2083860,2667878,1484794,1183084,748093,1933357,944555,13763,3737588,397870,24129,867,1322,253,1202223,731134,63.915598802509976,100.30443503882218
3,Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,2569688,2584608,3288577,1716933,1571644,1122046,2093681,1297273,22411,4983330,77777,77825,738,4149,413,1545831,547850,63.80264152466215,99.42273644591366
4,Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,2440521,2447292,2960441,1634726,1325715,1227956,2381624,1186028,19383,4217597,559770,89763,764,3282,323,1442370,939254,60.56780404651324,99.72332684452856
5,Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,2018575,1924748,2892155,1542688,1349467,23029,1413297,869721,149034,2046051,1713405,87522,11446,19560,1268,1045585,367712,73.34309160066269,104.87476802157998
6,Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,1880800,1895469,2206829,1257238,949591,756859,1876768,926768,8831,3491139,244723,24979,2086,312,332,1049463,827305,58.43940143035361,99.22610182493092
7,Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,1390988,1406382,1630234,901640,728594,804537,1410062,668519,8628,2595321,158887,33463,655,459,217,802906,607156,58.27738196949277,98.9054183002911
8,Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,2267375,2250023,3009718,1598959,1410759,1006976,2048880,1163932,30438,4023678,307043,145598,1393,6320,863,1327299,721581,66.62503503122815,100.7711921167028
9,Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,2039227,2014236,2127161,1246369,880792,1037302,2029425,816721,10081,3328380,670737,33165,737,2235,255,1164122,865303,52.47762222080231,101.24071856525254
10,Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,2050386,2002642,1940646,1158386,782260,931084,2082501,757821,6153,3673456,334172,21345,658,388,290,1140067,942434,47.881386459703705,102.38405066906617
11,Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,1523030,1510258,1637137,953406,683731,571129,1442203,604719,8635,2637313,342449,34301,1309,457,554,837874,604329,53.972356070376435,100.84568332033335
12,Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,1759772,1729037,2001019,1160757,840262,863131,1741693,789225,7715,3249231,188646,35025,937,250,241,976428,765265,57.35536109887357,101.77757908014694
13,Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,1250641,1300694,1389810,790214,599596,448281,1261076,545913,5261,2123426,391596,19653,2357,542,1847,684320,576756,54.47383428675576,96.15182356495839
14,Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,1714764,1682684,1904435,1107686,796749,889218,1700567,763746,6151,3150195,220654,18775,266,204,97,991842,708725,56.054868242280676,101.90647798398274
15,Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,1341738,1361376,1495381,857824,637557,700833,1290288,615432,3988,2666950,9025,18879,193,160,77,766483,523805,55.32067829917643,98.55748889359002
16,Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,2344474,1161477,1182997,1238388,707503,530885,557254,1157962,527736,4453,2299129,16423,17853,380,815,114,679289,478673,52.82157106455435,98.18089141392582
17,Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,1759281,1753295,2065023,1179790,885233,758092,1705655,828077,12952,3273755,197333,31377,1453,569,253,960926,744729,58.78941836418628,100.34141430848773
18,Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,1964918,1972048,2652389,1379223,1273166,1061787,1773112,1017568,12050,3733191,86142,109120,288,1578,209,1199338,573774,67.37139716218022,99.63844693435455
19,Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,148226,76948,71278,73174,44027,29147,4208,62966,14593,170,47683,2134,35969,94,95,50381,39329,23637,49.3665079000985,107.9547686523191
20,Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,38775,39915,38449,21599,16850,1063,31710,5318,57,12333,652,37136,36,23,452,16424,15286,48.861354682933026,97.14393085306276
21,Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,99214,50116,49098,62576,34210,28366,3565,40222,14231,450,27854,2289,18254,69,30,776,23591,16631,63.07174390710988,102.07340421198418
22,Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,92076,45318,46758,36606,20258,16348,2947,38044,3911,95,4859,471,51189,43,81,121,18429,19615,39.756288283591815,96.92031310150135
23,Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,145726,76221,69505,83062,48380,34682,7789,60945,17157,312,99020,3846,10684,210,104,24452,38910,22035,56.998751080795465,109.66261420041722
24,Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,54080,28053,26027,31849,18087,13762,3354,22326,5932,207,28915,2247,9213,33,19,2932,14102,8224,58.89238165680474,107.78422407499903
25,Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,83030,41843,41187,54057,29470,24587,1968,30202,12493,381,9551,1482,34402,27,13,193,17339,12863,65.1053835962905,101.59273557190376
26,Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,176573,89182,87391,121048,65794,55254,1859,65772,30539,2477,57027,6148,84397,310,139,4768,41263,24509,68.55408244748631,102.0494101223238
27,Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,49977,29151,20826,26073,17720,8353,1581,28561,8635,96,11842,787,776,1164,72,34920,19554,9007,52.169998199171616,139.9740708729473
28,Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,111975,57604,54371,47974,29313,18661,1811,50169,16026,98,20682,1103,83361,61,43,778,27545,22624,42.843491850859564,105.94618454690921
29,Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,35320,18699,16621,18195,10723,7472,804,17644,6198,97,5261,411,5643,27,7,2577,9968,7676,51.514722536806346,112.50225618193852
30,Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,83448,41758,41690,45278,24807,20471,1846,33370,5373,139,13474,521,8779,28,11,297,17898,15472,54.25893969897421,100.16310865915088
31,Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,46155,37792,48492,29566,18926,1705,42493,14188,202,31265,1970,8466,328,71,36087,28313,14180,57.76501840446948,122.12902201524132
32,Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,58168,54106,64746,36777,27969,1384,49177,14204,303,15881,2218,29969,577,49,3311,29156,20021,57.66784829969539,107.50748530662034
33,Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,867004,826618,897058,499038,398020,98946,561824,84804,2078,492966,1198036,1020,112,399,49,445297,116527,52.9668367557814,104.88569085115496
34,Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,738804,375818,362986,434078,237114,196964,47406,255806,49866,2523,359145,371033,5924,384,871,236,197542,58264,58.75414859692151,103.53512256671056
35,Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,886284,850333,1174128,639946,534182,68664,608062,140205,5316,1038985,654816,37635,280,1673,341,469752,138310,67.61007176596797,104.2278730803109
36,Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,475273,453227,487039,268666,218373,81617,324843,45444,1166,327322,597392,1688,431,724,57,246864,77979,52.4543887991384,104.86422918316869
37,Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,351249,334884,423028,237761,185267,19181,316800,28195,1192,655052,13475,8711,297,167,911,186577,130223,61.65393589872517,104.8867667610277
38,Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,676434,649901,884531,491361,393170,61209,560557,136685,8817,1198401,64526,52968,2261,1055,4673,368013,192544,66.68986342062902,104.08262181470715
39,Assam,Goalpara,26.017277777777807,90.59869891598912,302,1008183,513292,494891,563577,304302,259275,75828,362573,78641,1364,347878,579929,77862,771,477,194,267118,95455,55.90026810608788,103.71819249087173
40,Assam,Golaghat,26.377219709794485,93.82583397823468,313,1066888,543161,523727,721764,396475,325289,66616,479928,82345,3073,917426,90312,50582,1131,530,3863,309104,170824,67.6513373475004,103.71071187851686
41,Assam,Hailakandi,24.457496089385486,92.59154664804475,318,659296,337890,321406,407366,226836,180530,31248,214240,44143,1211,251194,397653,8480,84,247,490,170792,43448,61.78802844245984,105.12871570536953
42,Assam,Jorhat,26.76244824016563,94.30197722567289,312,1092256,556805,535451,794929,432335,362594,53153,498618,122063,5651,1008219,54684,21051,1540,719,2378,320746,177872,72.7786343128351,103.98803998871979
43,Assam,Kamrup,26.170939452054807,91.58863273972592,321,1517542,778461,739081,995319,550219,445100,99522,628954,122191,3109,877495,601784,33297,319,1330,185,428492,200462,65.58757517090137,105.32823871808368
44,Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,490167,466146,557214,314253,242961,60952,383441,53918,1923,766000,20290,157789,370,397,6260,246193,137248,58.26690633715113,105.15310653743677
45,Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,625864,602822,795297,435942,359355,67033,399171,70951,1933,521962,692489,11990,114,524,446,319798,79373,64.72744053403392,103.82235552119863
46,Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,887142,452905,434237,489305,275220,214085,56330,341131,41373,1218,529068,252271,101091,93,396,1718,236322,104809,55.15520626912039,104.29903485884435
47,Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,1042137,529674,512463,683486,375552,307934,43922,429995,60296,1948,797130,193476,46217,412,250,1074,282250,147745,65.58504304136596,103.35848636877199
